10:59:44.925{'coordinate': [171.9703890996448, 116.01513567944053], 'id': 16}
10:59:44.926{'coordinate': [161.09818883503038, 276.3505340110982], 'id': 14}
10:59:44.926{'coordinate': [220.99481776941735, 167.01804678724523], 'id': 15}
10:59:44.926{'id': 20, 'coordinate': [135.99852698378874, 168.4541146328884]}
10:59:44.927{'coordinate': [166.2739046169001, 748.3820061112467], 'id': 12}
10:59:44.928{'id': 6, 'coordinate': [167.64827348869684, 192.19988746755428]}
10:59:44.929{'id': 7, 'coordinate': [210.68436472915144, 552.1314710224667]}
10:59:44.930{'coordinate': [221.92295384606103, 719.0886402676607], 'id': 19}
10:59:44.930{'id': 8, 'coordinate': [165.97292297207989, 677.5594646126375]}
10:59:44.934{'coordinate': [228.248557541798, 365.94384489661064], 'id': 5}
10:59:44.935{'id': 10, 'coordinate': [225.75383410097857, 407.1158593895603]}
10:59:44.942{'id': 13, 'coordinate': [230.60510721973887, 294.6778600167609]}
10:59:45.109{'id': 9, 'coordinate': [115.66248018423553, 551.863422728754]}
10:59:45.178{'coordinate': [72.7199349883934, 393.31997603432916], 'id': 4}
10:59:45.443{'id': 20, 'coordinate': [145.9983165529014, 168.51898815187246]}
10:59:45.444{'coordinate': [176.27505713416235, 598.9361138850472], 'id': 3}
10:59:45.445{'coordinate': [78.7250514476738, 401.3161361321811], 'id': 4}
10:59:45.445{'id': 10, 'coordinate': [235.54963720106753, 409.1263920613385]}
10:59:45.446{'coordinate': [237.6347900455978, 369.39328534175706], 'id': 5}
10:59:45.446{'id': 6, 'coordinate': [173.0521671790721, 200.61403822583776]}
10:59:45.446{'id': 7, 'coordinate': [217.83748879543793, 545.1434229336]}
10:59:45.448{'coordinate': [176.2078959457092, 747.2349157577237], 'id': 12}
10:59:45.448{'coordinate': [235.34971645618452, 497.42152635193224], 'id': 17}
10:59:45.454{'coordinate': [181.8767881087034, 117.38014801393513], 'id': 16}
10:59:45.455{'coordinate': [230.18867692297567, 713.460334837448], 'id': 19}
10:59:45.455{'id': 13, 'coordinate': [239.66011696698786, 298.92130183646645]}
10:59:45.458{'coordinate': [170.47075145639678, 279.8369461939253], 'id': 14}
10:59:45.458{'id': 8, 'coordinate': [175.97046142408715, 677.3375977592409]}
10:59:45.459{'coordinate': [230.9942995463591, 167.11985146596973], 'id': 15}
10:59:45.558{'coordinate': [125.53063093584385, 425.5562934685902], 'id': 1}
10:59:45.708{'id': 9, 'coordinate': [110.69249028113562, 560.5409339135975]}
10:59:45.946{'coordinate': [240.99378132330082, 167.22165614469426], 'id': 15}
10:59:45.962{'coordinate': [186.1418872745183, 746.0878254042007], 'id': 12}
10:59:45.962{'id': 8, 'coordinate': [185.9679998760944, 677.1157309058443]}
10:59:45.963{'coordinate': [244.3788594941999, 493.12332021459326], 'id': 17}
10:59:45.963{'id': 20, 'coordinate': [155.99810612201406, 168.58386167085652]}
10:59:45.964{'coordinate': [247.02102254939763, 372.8427257869035], 'id': 5}
10:59:45.965{'coordinate': [179.38131189534255, 589.4307900421345], 'id': 3}
10:59:45.966{'coordinate': [191.78318711776203, 118.74516034842972], 'id': 16}
10:59:45.966{'coordinate': [238.4543999998903, 707.8320294072354], 'id': 19}
10:59:45.966{'id': 6, 'coordinate': [178.45606086944733, 209.02818898412124]}
10:59:45.967{'id': 13, 'coordinate': [248.71512671423685, 303.164743656172]}
10:59:45.971{'id': 7, 'coordinate': [224.99061286172443, 538.1553748447334]}
10:59:45.973{'coordinate': [179.84331407776318, 283.3233583767524], 'id': 14}
10:59:45.983{'id': 10, 'coordinate': [245.3454403011565, 411.1369247331167]}
10:59:46.133{'coordinate': [73.82558298832016, 410.03365922167154], 'id': 4}
10:59:46.320{'id': 9, 'coordinate': [107.75918771155143, 570.1010456302706]}
10:59:46.578{'coordinate': [256.40725505319745, 376.2921662320499], 'id': 5}
10:59:46.579{'coordinate': [201.68958612682064, 120.11017268292431], 'id': 16}
10:59:46.579{'coordinate': [253.40800253221528, 488.8251140772543], 'id': 17}
10:59:46.579{'id': 6, 'coordinate': [183.85995455982257, 217.44233974240473]}
10:59:46.580{'coordinate': [246.72012307680495, 702.2037239770227], 'id': 19}
10:59:46.580{'id': 13, 'coordinate': [257.77013646148583, 307.40818547587753]}
10:59:46.581{'coordinate': [80.04879514627024, 417.86127893887436], 'id': 4}
10:59:46.581{'id': 10, 'coordinate': [255.14124340124545, 413.1474574048949]}
10:59:46.582{'coordinate': [182.48756665652274, 579.9254661992218], 'id': 3}
10:59:46.582{'coordinate': [196.0758786033274, 744.9407350506776], 'id': 12}
10:59:46.582{'coordinate': [250.99326310024256, 167.32346082341877], 'id': 15}
10:59:46.583{'coordinate': [189.21587669912958, 286.80977055957953], 'id': 14}
10:59:46.583{'id': 20, 'coordinate': [165.99789569112673, 168.64873518984058]}
10:59:46.583{'id': 7, 'coordinate': [232.14373692801092, 531.1673267558667]}
10:59:46.584{'id': 8, 'coordinate': [195.96553832810167, 676.8938640524477]}
10:59:46.758{'coordinate': [130.11836233379145, 416.67075912223345], 'id': 1}
10:59:46.794{'id': 9, 'coordinate': [103.84438862582952, 579.3029121864879]}
10:59:47.071{'coordinate': [198.58843932049598, 290.29618274240664], 'id': 14}
10:59:47.072{'id': 13, 'coordinate': [266.8251462087348, 311.65162729558307]}
10:59:47.074{'id': 7, 'coordinate': [239.29686099429742, 524.1792786670001]}
10:59:47.076{'id': 10, 'coordinate': [264.9370465013344, 415.1579900766731]}
10:59:47.076{'id': 20, 'coordinate': [175.9976852602394, 168.71360870882464]}
10:59:47.077{'coordinate': [185.59382141770294, 570.420142356309], 'id': 3}
10:59:47.077{'coordinate': [86.27200730422031, 425.6888986560772], 'id': 4}
10:59:47.078{'id': 8, 'coordinate': [205.96307678010893, 676.6719971990511]}
10:59:47.079{'coordinate': [260.9927448771843, 167.4252655021433], 'id': 15}
10:59:47.079{'coordinate': [265.79348755699726, 379.74160667719633], 'id': 5}
10:59:47.079{'id': 9, 'coordinate': [113.71398099115271, 580.9126160543948]}
10:59:47.080{'coordinate': [206.0098699321365, 743.7936446971546], 'id': 12}
10:59:47.081{'coordinate': [254.9858461537196, 696.57541854681], 'id': 19}
10:59:47.081{'coordinate': [262.43714557023065, 484.5269079399153], 'id': 17}
10:59:47.081{'id': 6, 'coordinate': [189.2638482501978, 225.8564905006882]}
10:59:47.082{'coordinate': [211.59598513587926, 121.47518501741891], 'id': 16}
10:59:47.226{'coordinate': [134.70609373173906, 407.7852247758767], 'id': 1}
10:59:47.226{'id': 18, 'coordinate': [148.2801790778256, 575.6646159006211]}
10:59:47.570{'coordinate': [215.9438612609456, 742.6465543436316], 'id': 12}
10:59:47.570{'id': 13, 'coordinate': [275.88015595598375, 315.8950691152886]}
10:59:47.571{'id': 7, 'coordinate': [246.4499850605839, 517.1912305781334]}
10:59:47.572{'coordinate': [92.49521946217038, 433.51651837328], 'id': 4}
10:59:47.574{'coordinate': [271.46628860824603, 480.2287018025763], 'id': 17}
