11:07:18.357{'id': 18, 'coordinate': [82.28405372334768, 598.9993847701863]}
11:07:18.358{'id': 1, 'coordinate': [79.71676406474204, 432.99760092904893]}
11:07:18.359{'coordinate': [86.1176878640992, 248.45923654848133], 'id': 14}
11:07:18.359{'coordinate': [95.96050751525691, 166.46117271006963], 'id': 20}
11:07:18.359{'id': 12, 'coordinate': [86.98410925050622, 761.9763157551256]}
11:07:18.360{'coordinate': [147.37753244951952, 391.0795219530344], 'id': 10}
11:07:18.360{'coordinate': [86.65905147034161, 309.4899372643359], 'id': 4}
11:07:18.360{'coordinate': [87.78501948736266, 533.5850542725916], 'id': 9}
11:07:18.361{'coordinate': [85.94588312188986, 681.801134101091], 'id': 8}
11:07:18.363{'coordinate': [154.98752625070688, 327.13497435693057], 'id': 5}
11:07:18.363{'coordinate': [161.99916788632996, 629.2234415534095], 'id': 7}
11:07:18.365{'coordinate': [167.70301335145058, 704.2743467553167], 'id': 3}
11:07:18.365{'id': 17, 'coordinate': [155.37504286671825, 539.2605471246122]}
11:07:18.367{'id': 13, 'coordinate': [158.16502924174696, 260.7303254591166]}
11:07:18.367{'id': 6, 'coordinate': [146.0757357884173, 126.3140810621596]}
11:07:18.368{'coordinate': [132.5963746803966, 497.47338783439426], 'id': 2}
11:07:18.368{'id': 15, 'coordinate': [150.9984453308252, 166.30541403617357]}
11:07:18.368{'id': 19, 'coordinate': [156.75163871377842, 765.6099673959076]}
11:07:18.370{'id': 11, 'coordinate': [88.43869244328971, 388.77610484923844]}
11:07:18.658{'coordinate': [105.94734335367588, 165.94823028009284], 'id': 20}
11:07:18.664{'id': 12, 'coordinate': [96.9788123340083, 762.3017543401675]}
11:07:18.665{'coordinate': [171.9988905151066, 629.2979220712127], 'id': 7}
11:07:18.665{'coordinate': [96.54540196045548, 307.9865830191145], 'id': 4}
11:07:18.665{'id': 1, 'coordinate': [87.95568541965605, 427.3301345720652]}
11:07:18.667{'coordinate': [95.4902504854656, 251.94564873130844], 'id': 14}
11:07:18.667{'id': 13, 'coordinate': [167.22003898899595, 264.97376727882215]}
11:07:18.668{'id': 11, 'coordinate': [98.25158992438628, 390.7014731323179]}
11:07:18.668{'id': 6, 'coordinate': [153.4343143845564, 133.0854414162128]}
11:07:18.669{'coordinate': [102.99625047218598, 101.54767523785983], 'id': 16}
11:07:18.669{'coordinate': [157.17004326602603, 393.1060292707125], 'id': 10}
11:07:18.669{'coordinate': [177.2706844686008, 701.3657956737557], 'id': 3}
11:07:18.669{'coordinate': [95.92784416251982, 682.4015121347879], 'id': 8}
11:07:18.669{'id': 18, 'coordinate': [91.71207163113024, 595.6658463602485]}
11:07:18.670{'id': 19, 'coordinate': [165.3355182850379, 760.4799565278768]}
11:07:18.671{'coordinate': [134.46183290719546, 507.297850445859], 'id': 2}
11:07:18.671{'id': 15, 'coordinate': [160.99792710776694, 166.4072187148981]}
11:07:18.672{'id': 17, 'coordinate': [164.83339048895766, 536.0140628328163]}
11:07:18.673{'coordinate': [97.71335931648355, 534.7800723634555], 'id': 9}
11:07:18.674{'coordinate': [164.98336833427584, 326.8466324759074], 'id': 5}
11:07:18.961{'coordinate': [104.862813106832, 255.43206091413555], 'id': 14}
11:07:18.962{'coordinate': [186.838355585751, 698.4572445921946], 'id': 3}
11:07:18.963{'id': 1, 'coordinate': [96.19460677457006, 421.66266821508157]}
11:07:18.964{'coordinate': [112.99531309023246, 101.6845940473248], 'id': 16}
11:07:18.964{'coordinate': [115.93417919209485, 165.43528785011605], 'id': 20}
11:07:18.964{'coordinate': [136.32729113399432, 517.1223130573237], 'id': 2}
11:07:18.964{'id': 18, 'coordinate': [101.1400895389128, 592.3323079503106]}
11:07:18.964{'id': 6, 'coordinate': [160.79289298069548, 139.856801770266]}
11:07:18.965{'coordinate': [106.43175245056935, 306.48322877389313], 'id': 4}
11:07:18.965{'coordinate': [107.64169914560443, 535.9750904543193], 'id': 9}
11:07:18.965{'coordinate': [181.99861314388326, 629.3724025890159], 'id': 7}
11:07:18.965{'id': 15, 'coordinate': [170.99740888470868, 166.5090233936226]}
11:07:18.966{'coordinate': [166.96255408253253, 395.1325365883906], 'id': 10}
11:07:18.966{'id': 13, 'coordinate': [176.27504873624494, 269.2172090985277]}
11:07:18.966{'id': 17, 'coordinate': [174.29173811119708, 532.7675785410204]}
11:07:18.967{'coordinate': [105.90980520314977, 683.0018901684849], 'id': 8}
11:07:18.967{'coordinate': [174.9792104178448, 326.5582905948843], 'id': 5}
11:07:18.967{'id': 11, 'coordinate': [108.06448740548285, 392.6268414153974]}
11:07:18.967{'id': 12, 'coordinate': [106.97351541751037, 762.6271929252093]}
11:07:18.967{'id': 19, 'coordinate': [173.91939785629737, 755.349945659846]}
11:07:19.318{'coordinate': [116.31810294068322, 304.97987452867176], 'id': 4}
11:07:19.318{'coordinate': [125.92101503051381, 164.92234542013927], 'id': 20}
11:07:19.318{'id': 13, 'coordinate': [185.33005848349393, 273.4606509182332]}
11:07:19.319{'id': 18, 'coordinate': [110.56810744669536, 588.9987695403727]}
11:07:19.320{'coordinate': [184.97505250141376, 326.26994871386114], 'id': 5}
11:07:19.321{'coordinate': [115.89176624377973, 683.6022682021819], 'id': 8}
11:07:19.322{'coordinate': [114.23537572819839, 258.91847309696266], 'id': 14}
11:07:19.323{'coordinate': [122.99437570827895, 101.82151285678975], 'id': 16}
11:07:19.323{'id': 12, 'coordinate': [116.96821850101244, 762.9526315102512]}
11:07:19.324{'coordinate': [176.75506489903904, 397.15904390606875], 'id': 10}
