11:12:19.611{'id': 16, 'coordinate': [152.9915635624184, 102.23226928518463]}
11:12:19.612{'coordinate': [208.25491614133526, 734.8299021877227], 'id': 19}
11:12:19.612{'id': 13, 'coordinate': [216.45596953351412, 276.23609872285994]}
11:12:19.613{'id': 10, 'coordinate': [206.16222790080064, 403.09479404600387]}
11:12:19.615{'id': 12, 'coordinate': [146.99085621113767, 762.2828867394851]}
11:12:19.615{'id': 8, 'coordinate': [145.97784606806536, 678.0031983194307]}
11:12:19.617{'coordinate': [145.97715441102483, 300.46981179300764], 'id': 4}
11:12:19.622{'coordinate': [138.85216117004305, 578.998154310559], 'id': 18}
11:12:19.624{'coordinate': [221.99750365898987, 629.6703246602286], 'id': 7}
11:12:19.626{'coordinate': [214.96257875212063, 325.4049230707917], 'id': 5}
11:12:19.628{'coordinate': [212.12512860015474, 519.7816413738367], 'id': 17}
11:12:19.636{'coordinate': [142.3530635922976, 269.377709645444], 'id': 14}
11:12:19.642{'id': 3, 'coordinate': [225.10904005435185, 686.8230402659505]}
11:12:19.783{'id': 2, 'coordinate': [139.73168628862607, 551.5936879612914]}
11:12:19.842{'id': 6, 'coordinate': [159.72616584573942, 163.62490779384237]}
11:12:19.877{'id': 1, 'coordinate': [125.53063093584385, 425.5562934685902]}
11:12:20.312{'coordinate': [155.8635049011387, 298.96645754778626], 'id': 4}
11:12:20.312{'id': 12, 'coordinate': [156.9898402345974, 762.425429710539]}
11:12:20.314{'id': 13, 'coordinate': [225.95107725946013, 279.3734430253999]}
11:12:20.316{'coordinate': [151.725626213664, 272.8641218282711], 'id': 14}
11:12:20.316{'coordinate': [231.99722628776652, 629.7448051780318], 'id': 7}
11:12:20.316{'id': 16, 'coordinate': [162.9906261804649, 102.36918809464959]}
11:12:20.324{'coordinate': [221.58347622239415, 516.5351570820408], 'id': 17}
11:12:20.325{'id': 10, 'coordinate': [215.9580310008896, 405.1053267177821]}
11:12:20.327{'coordinate': [216.83879571259473, 729.6998913196919], 'id': 19}
11:12:20.329{'coordinate': [224.9584208356896, 325.11658118976857], 'id': 5}
11:12:20.331{'id': 3, 'coordinate': [234.67671117150206, 683.9144891843895]}
11:12:20.331{'id': 8, 'coordinate': [155.97538452007262, 677.7813314660341]}
11:12:20.482{'id': 6, 'coordinate': [167.33637724890974, 170.11217859126222]}
11:12:20.487{'id': 1, 'coordinate': [130.11836233379145, 416.67075912223345]}
11:12:20.525{'id': 2, 'coordinate': [144.19187192475806, 560.5439250582202]}
11:12:20.900{'id': 10, 'coordinate': [225.75383410097857, 407.1158593895603]}
11:12:20.900{'id': 3, 'coordinate': [244.24438228865228, 681.0059381028284]}
11:12:20.901{'id': 8, 'coordinate': [165.97292297207989, 677.5594646126375]}
11:12:20.903{'id': 16, 'coordinate': [172.98968879851137, 102.50610690411455]}
11:12:20.904{'coordinate': [225.4226752838542, 724.5698804516611], 'id': 19}
11:12:20.904{'coordinate': [241.99694891654318, 629.819285695835], 'id': 7}
11:12:20.905{'coordinate': [234.95426291925855, 324.8282393087454], 'id': 5}
11:12:20.905{'id': 13, 'coordinate': [235.44618498540615, 282.5107873279399]}
11:12:20.908{'coordinate': [231.04182384463357, 513.2886727902448], 'id': 17}
11:12:20.908{'id': 12, 'coordinate': [166.98882425805715, 762.5679726815929]}
11:12:21.066{'coordinate': [165.74985539125257, 297.4631033025649], 'id': 4}
11:12:21.085{'id': 1, 'coordinate': [134.70609373173906, 407.7852247758767]}
11:12:21.090{'coordinate': [115.66248018423553, 551.863422728754], 'id': 9}
11:12:21.170{'id': 6, 'coordinate': [174.94658865208007, 176.59944938868207]}
11:12:21.502{'id': 3, 'coordinate': [253.8120534058025, 678.0973870212674]}
11:12:21.503{'coordinate': [234.00655485511368, 719.4398695836303], 'id': 19}
11:12:21.505{'id': 10, 'coordinate': [235.54963720106753, 409.1263920613385]}
11:12:21.507{'coordinate': [145.89468670735175, 163.8964605601857], 'id': 20}
11:12:21.507{'coordinate': [251.99667154531983, 629.8937662136382], 'id': 7}
11:12:21.507{'id': 8, 'coordinate': [175.97046142408715, 677.3375977592409]}
11:12:21.509{'coordinate': [240.50017146687298, 510.0421884984489], 'id': 17}
11:12:21.509{'id': 13, 'coordinate': [244.94129271135216, 285.6481316304799]}
11:12:21.516{'id': 12, 'coordinate': [176.9878082815169, 762.7105156526468]}
11:12:21.528{'coordinate': [244.9501050028275, 324.5398974277223], 'id': 5}
11:12:21.541{'id': 16, 'coordinate': [182.98875141655785, 102.6430257135795]}
11:12:21.638{'id': 6, 'coordinate': [182.5568000552504, 183.08672018610193]}
11:12:21.691{'id': 1, 'coordinate': [139.29382512968667, 398.8996904295199]}
