10:39:49.032{'coordinate': [126.78520493954267, 553.8206046144311], 'id': 9}
10:39:49.051{'id': 11, 'coordinate': [134.01680546514456, 410.79350459738134]}
10:39:49.053{'id': 10, 'coordinate': [196.36642480071168, 401.08426137422566]}
10:39:49.295{'id': 10, 'coordinate': [206.16222790080064, 403.09479404600387]}
10:39:49.295{'id': 17, 'coordinate': [208.2622873421384, 510.3161447639492]}
10:39:49.297{'coordinate': [212.4950877252409, 286.19097637734984], 'id': 13}
10:39:49.298{'coordinate': [166.95629285062176, 627.4520854137854], 'id': 3}
10:39:49.298{'id': 12, 'coordinate': [146.4059219592819, 750.6761868182928]}
10:39:49.298{'id': 16, 'coordinate': [152.15759108152756, 113.28511101045135]}
10:39:49.299{'coordinate': [142.3530635922976, 269.377709645444], 'id': 14}
10:39:49.299{'id': 1, 'coordinate': [104.43352812948407, 415.99520185809786]}
10:39:49.300{'id': 11, 'coordinate': [143.39390614828764, 414.267692672054]}
10:39:49.301{'coordinate': [145.97784606806536, 678.0031983194307], 'id': 8}
10:39:49.301{'id': 4, 'coordinate': [142.10480346923384, 343.2775071763818]}
10:39:49.304{'id': 15, 'coordinate': [210.99533599247562, 166.9162421085207]}
10:39:49.305{'id': 7, 'coordinate': [196.37811659657845, 566.1075672002]}
10:39:49.309{'coordinate': [205.39150769223176, 730.345251128086], 'id': 19}
10:39:49.309{'id': 5, 'coordinate': [176.14912060072893, 375.78877966397636]}
10:39:49.453{'coordinate': [135.60428278312799, 195.5594351408783], 'id': 20}
10:39:49.492{'coordinate': [138.85216117004305, 578.998154310559], 'id': 18}
10:39:49.781{'id': 5, 'coordinate': [183.4561378294045, 382.61574818740155]}
10:39:49.783{'coordinate': [213.6572307691464, 724.7169456978734], 'id': 19}
10:39:49.783{'id': 12, 'coordinate': [156.339913288091, 749.5290964647697]}
10:39:49.783{'id': 16, 'coordinate': [162.06399009058617, 114.65012334494594]}
10:39:49.784{'coordinate': [170.06254761180196, 617.9467615708727], 'id': 3}
10:39:49.784{'id': 11, 'coordinate': [152.77100683143073, 417.7418807467267]}
10:39:49.786{'coordinate': [151.725626213664, 272.8641218282711], 'id': 14}
10:39:49.786{'coordinate': [155.97538452007262, 677.7813314660341], 'id': 8}
10:39:49.787{'id': 10, 'coordinate': [215.9580310008896, 405.1053267177821]}
