23:03:37.955{'id': 1, 'coordinate': [360.65104238573554, 105.4205150757652]}
23:03:37.958{'coordinate': [368.6441076622469, 623.6780457003399], 'id': 5}
23:03:37.958{'id': 2, 'coordinate': [368.79495685566906, 438.63126960255096]}
23:03:38.151{'id': 2, 'coordinate': [378.78874342705296, 438.9837323177798]}
23:03:38.155{'coordinate': [378.63332304595133, 623.2137440548956], 'id': 5}
23:03:38.155{'id': 4, 'coordinate': [376.3934207064461, 275.0199912422993]}
23:03:38.157{'coordinate': [374.93557881733494, 803.5854325147866], 'id': 3}
23:03:38.169{'id': 1, 'coordinate': [370.4586497307578, 107.37265189624293]}
23:03:38.370{'coordinate': [384.8160370178448, 802.0438275887509], 'id': 3}
23:03:38.370{'coordinate': [388.6225384296558, 622.7494424094515], 'id': 5}
23:03:38.370{'id': 2, 'coordinate': [388.78252999843687, 439.3361950330086]}
23:03:38.370{'id': 4, 'coordinate': [386.3167566095768, 276.255873337661]}
23:03:38.374{'id': 1, 'coordinate': [380.2662570757801, 109.32478871672066]}
23:03:38.567{'id': 1, 'coordinate': [390.0738644208024, 111.2769255371984]}
23:03:38.567{'id': 4, 'coordinate': [396.2400925127076, 277.4917554330228]}
23:03:38.568{'id': 2, 'coordinate': [398.7763165698208, 439.68865774823746]}
23:03:38.571{'coordinate': [398.6117538133602, 622.2851407640072], 'id': 5}
23:03:38.575{'coordinate': [394.69649521835464, 800.5022226627152], 'id': 3}
23:03:38.762{'coordinate': [408.60096919706467, 621.8208391185631], 'id': 5}
23:03:38.762{'id': 2, 'coordinate': [408.7701031412047, 440.04112046346626]}
23:03:38.765{'id': 4, 'coordinate': [406.1634284158383, 278.72763752838455]}
23:03:38.770{'id': 1, 'coordinate': [399.8814717658247, 113.22906235767613]}
23:03:38.774{'coordinate': [404.5769534188645, 798.9606177366795], 'id': 3}
23:03:38.958{'id': 1, 'coordinate': [409.689079110847, 115.18119917815386]}
23:03:38.979{'id': 4, 'coordinate': [416.0867643189691, 279.96351962374627]}
23:03:38.983{'coordinate': [418.5901845807691, 621.3565374731188], 'id': 5}
23:03:38.988{'id': 2, 'coordinate': [418.7638897125886, 440.3935831786951]}
23:03:38.989{'coordinate': [414.45741161937434, 797.4190128106438], 'id': 3}
23:03:39.171{'coordinate': [428.57939996447357, 620.8922358276747], 'id': 5}
23:03:39.175{'id': 1, 'coordinate': [419.4966864558693, 117.1333359986316]}
23:03:39.176{'coordinate': [424.3378698198842, 795.8774078846081], 'id': 3}
23:03:39.178{'id': 4, 'coordinate': [426.0101002220998, 281.199401719108]}
23:03:39.181{'id': 2, 'coordinate': [428.7576762839725, 440.7460458939239]}
23:03:39.373{'id': 4, 'coordinate': [435.93343612523057, 282.43528381446976]}
23:03:39.382{'coordinate': [438.568615348178, 620.4279341822304], 'id': 5}
23:03:39.387{'coordinate': [434.21832802039404, 794.3358029585725], 'id': 3}
23:03:39.387{'id': 1, 'coordinate': [429.30429380089157, 119.08547281910933]}
23:03:39.469{'id': 2, 'coordinate': [438.7514628553564, 441.09850860915276]}
23:03:39.660{'coordinate': [444.0987862209039, 792.7941980325368], 'id': 3}
23:03:39.660{'id': 2, 'coordinate': [448.7452494267403, 441.45097132438156]}
23:03:39.661{'coordinate': [448.55783073188246, 619.9636325367862], 'id': 5}
23:03:39.662{'id': 1, 'coordinate': [439.11190114591386, 121.03760963958706]}
23:03:39.669{'id': 4, 'coordinate': [445.8567720283613, 283.67116590983153]}
23:03:39.874{'coordinate': [458.5470461155869, 619.499330891342], 'id': 5}
23:03:39.875{'id': 1, 'coordinate': [448.91950849093615, 122.9897464600648]}
23:03:39.877{'id': 4, 'coordinate': [455.78010793149207, 284.90704800519325]}
23:03:39.879{'coordinate': [453.97924442141374, 791.2525931065011], 'id': 3}
23:03:39.879{'id': 2, 'coordinate': [458.7390359981242, 441.8034340396104]}
23:03:40.083{'id': 2, 'coordinate': [468.73282256950813, 442.1558967548392]}
23:03:40.085{'coordinate': [468.53626149929136, 619.0350292458978], 'id': 5}
23:03:40.087{'id': 1, 'coordinate': [458.72711583595844, 124.94188328054253]}
23:03:40.090{'coordinate': [463.8597026219236, 789.7109881804654], 'id': 3}
23:03:40.090{'id': 4, 'coordinate': [465.7034438346228, 286.14293010055496]}
23:03:40.290{'id': 1, 'coordinate': [468.53472318098073, 126.89402010102026]}
